Cap_Shape,Cap_Surface,Cap_Colour,Bruises,Odour,Gill_Attachment,Gill_Spacing,Gill_Size,Gill_Colour,Stalk_Shape,Stalk_Root,Stalk_Surface_Above_Ring,Stalk_Surface_Below_Ring,Stalk_Colour_Above_Ring,Stalk_Colour_Below_Ring,Veil_Type,Veil_Colour,Ring_Number,Ring_Type,Spore_Print_Colour,Population,Habitat,Class
Convex,Smooth,Yellow,Bruises,Almond,Free,Crowded,Narrow,Brown,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Woods,Edible
Bell,Smooth,Yellow,Bruises,Anise,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Meadows,Edible
Convex,Scaly,White,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Urban,Poisonous
Convex,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Meadows,Edible
Convex,Scaly,Brown,Bruises,Anise,Free,Closed,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Brown,Solitary,Paths,Edible
Bell,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Meadows,Edible
Convex,Fibrous,Yellow,Bruises,Anise,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Woods,Edible
Sunken,Fibrous,Gray,No Bruises,No Odour,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Several,Urban,Edible
Convex,Scaly,Brown,Bruises,Pungent,Free,Closed,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Urban,Poisonous
Convex,Fibrous,Yellow,Bruises,Almond,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Woods,Edible
Bell,Smooth,Yellow,Bruises,Anise,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Meadows,Edible
Bell,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Edible
Convex,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Black,Solitary,Paths,Edible
Convex,Fibrous,Brown,No Bruises,No Odour,Free,Closed,Narrow,Gray,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Solitary,Urban,Edible
Convex,Scaly,White,Bruises,Pungent,Free,Closed,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Grasses,Poisonous
Convex,Smooth,Yellow,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Meadows,Edible
Convex,Scaly,White,Bruises,Almond,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Grasses,Edible
Convex,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Meadows,Edible
Convex,Smooth,White,Bruises,Anise,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Meadows,Edible
Convex,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Brown,Scattered,Paths,Edible
Flat,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Black,Scattered,Paths,Edible
Convex,Scaly,Brown,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Edible
Convex,Smooth,White,Bruises,Anise,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Edible
Bell,Smooth,White,Bruises,Anise,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Meadows,Edible
Convex,Scaly,Brown,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Urban,Poisonous
Convex,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Several,Urban,Poisonous
Bell,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Meadows,Edible
Flat,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Bell,Smooth,White,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Grasses,Edible
Convex,Smooth,Yellow,Bruises,Anise,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Grasses,Edible
Convex,Scaly,Brown,Bruises,Almond,Free,Closed,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Black,Solitary,Paths,Edible
Sunken,Fibrous,Gray,No Bruises,No Odour,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Urban,Edible
Bell,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Meadows,Edible
Bell,Smooth,Yellow,Bruises,Anise,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Meadows,Edible
Bell,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Meadows,Edible
Bell,Scaly,White,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Edible
Flat,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Abundant,Grasses,Edible
Convex,Smooth,White,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Edible
Flat,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Edible
Convex,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Grasses,Edible
Convex,Fibrous,Gray,No Bruises,No Odour,Free,Closed,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Urban,Edible
Flat,Fibrous,Yellow,Bruises,Anise,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Woods,Edible
Bell,Scaly,White,Bruises,Anise,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Meadows,Edible
Flat,Fibrous,Yellow,Bruises,Anise,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Woods,Edible
Convex,Scaly,Brown,Bruises,Almond,Free,Closed,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Black,Scattered,Paths,Edible
Bell,Smooth,Yellow,Bruises,Almond,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Edible
Flat,Smooth,Yellow,Bruises,Anise,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Woods,Edible
Convex,Smooth,White,Bruises,Anise,Free,Crowded,Narrow,Brown,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Purple,Several,Woods,Edible
Flat,Scaly,Brown,Bruises,Anise,Free,Closed,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Brown,Solitary,Paths,Edible
Convex,Scaly,Brown,Bruises,Pungent,Free,Closed,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Urban,Poisonous
Flat,Scaly,Brown,Bruises,Almond,Free,Closed,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Brown,Solitary,Grasses,Edible
Convex,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Convex,Scaly,White,Bruises,Pungent,Free,Closed,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Poisonous
Flat,Fibrous,Gray,No Bruises,No Odour,Free,Closed,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Solitary,Urban,Edible
Convex,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Scattered,Grasses,Edible
Convex,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Edible
Convex,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Bell,Smooth,White,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Edible
Convex,Smooth,White,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Edible
Flat,Scaly,Brown,Bruises,Anise,Free,Closed,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Black,Solitary,Grasses,Edible
Sunken,Fibrous,Brown,No Bruises,No Odour,Free,Closed,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Urban,Edible
Convex,Fibrous,Brown,No Bruises,No Odour,Free,Closed,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Solitary,Urban,Edible
Bell,Smooth,White,Bruises,Anise,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Edible
Convex,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Edible
Convex,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Meadows,Edible
Convex,Smooth,Brown,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Smooth,White,Bruises,Almond,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Edible
Flat,Scaly,Brown,Bruises,Anise,Free,Closed,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Edible
Convex,Smooth,Yellow,Bruises,Almond,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Grasses,Edible
Bell,Smooth,White,Bruises,Almond,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Edible
Convex,Scaly,White,Bruises,Almond,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Grasses,Edible
Convex,Fibrous,Brown,No Bruises,No Odour,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Bell,Smooth,Yellow,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Grasses,Edible
Flat,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Edible
Convex,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Black,Solitary,Paths,Edible
Bell,Scaly,White,Bruises,Anise,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Grasses,Edible
Convex,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Meadows,Edible
Convex,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Brown,Solitary,Grasses,Edible
Bell,Scaly,White,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Meadows,Edible
Bell,Scaly,White,Bruises,Almond,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Meadows,Edible
Convex,Smooth,Yellow,Bruises,Almond,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Meadows,Edible
Convex,Smooth,Yellow,Bruises,Anise,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Grasses,Edible
Sunken,Fibrous,Gray,No Bruises,No Odour,Free,Closed,Narrow,Gray,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Solitary,Urban,Edible
Convex,Fibrous,White,Bruises,Almond,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Purple,Several,Woods,Edible
Convex,Smooth,Yellow,Bruises,Almond,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Meadows,Edible
Convex,Scaly,White,Bruises,Pungent,Free,Closed,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Urban,Poisonous
Convex,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Edible
Sunken,Fibrous,Gray,No Bruises,No Odour,Free,Closed,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Solitary,Urban,Edible
Convex,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Black,Solitary,Grasses,Edible
Convex,Smooth,Yellow,Bruises,Anise,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Purple,Several,Woods,Edible
Sunken,Fibrous,Brown,No Bruises,No Odour,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Solitary,Urban,Edible
Convex,Smooth,White,Bruises,Pungent,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Several,Grasses,Poisonous
Convex,Scaly,White,Bruises,Almond,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Meadows,Edible
Flat,Scaly,Brown,Bruises,Pungent,Free,Closed,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Several,Grasses,Poisonous
Flat,Smooth,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Smooth,Yellow,Bruises,Anise,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Meadows,Edible
Convex,Smooth,White,No Bruises,No Odour,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Bell,Smooth,Yellow,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Grasses,Edible
Flat,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Smooth,White,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Grasses,Edible
Bell,Smooth,White,Bruises,Anise,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Meadows,Edible
Bell,Smooth,White,Bruises,Anise,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Edible
Bell,Scaly,White,Bruises,Anise,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Meadows,Edible
Flat,Smooth,White,Bruises,Anise,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Purple,Several,Woods,Edible
Convex,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Scattered,Meadows,Edible
Flat,Smooth,White,Bruises,Almond,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Woods,Edible
Convex,Scaly,White,Bruises,Pungent,Free,Closed,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Urban,Poisonous
Flat,Fibrous,White,Bruises,Anise,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Woods,Edible
Convex,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Scattered,Grasses,Edible
Convex,Smooth,Brown,Bruises,Pungent,Free,Closed,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Grasses,Poisonous
Bell,Smooth,Yellow,Bruises,Anise,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Grasses,Edible
Convex,Scaly,Brown,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Black,Solitary,Paths,Edible
Bell,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Meadows,Edible
Sunken,Fibrous,Brown,No Bruises,No Odour,Free,Closed,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Several,Urban,Edible
Flat,Scaly,Brown,Bruises,Almond,Free,Closed,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,1,Pendant,Black,Solitary,Paths,Edible
Convex,Scaly,Yellow,Bruises,Almond,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Grasses,Edible
Convex,Fibrous,Gray,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,1,Evanescent,Black,Scattered,Grasses,Edible
Flat,Fibrous,White,No Bruises,No Odour,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,1,Evanescent,Brown,Abundant,Grasses,Edible
Convex,Scaly,Yellow,Bruises,Anise,Free,Closed,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Brown,Numerous,Meadows,Edible
Bell,Smooth,Yellow,Bruises,Anise,Free,Closed,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,1,Pendant,Black,Numerous,Grasses,Edible
